,Product Name,Sale Price,Market Price,Discount Offered,Product Rating,No_of_rating,No_of_review,Product Specs,Category,Product Company
35,Omen AMD Ryzen 7 Octa Core 7840HS - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RT...,96990,49999,44,4.5,209,26,"[""AMD Ryzen 7 Octa Core Processor"", ""16 GB DDR5 RAM"", ""Windows 11 Operating System"", ""1 TB SSD"", ""40.89 cm (16.1 Inch) Display"", ""1 Year Onsite Warranty""]",Laptop,HP
36,Aspire 3 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light ...,27990,61990,35,4.2,1025,93,"[""Intel Core i3 Processor (13th Gen)"", ""8 GB DDR4 RAM"", ""Windows 11 Operating System"", ""512 GB SSD"", ""35.56 cm (14 Inch) Display"", ""1 Year Carry-in Warranty""]",Laptop,Acer
37,Vivobook Go 15 OLED AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK323...,39990,50843,17,4.4,3408,364,"[""AMD Ryzen 3 Quad Core Processor"", ""8 GB LPDDR5 RAM"", ""Windows 11 Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 Inch) Display"", ""1 Year Onsite Warranty""]",Laptop,ASUS
38,Laptop Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0186TU Thin and Light ...,41990,44527,11,4.2,426,27,"[""Intel Core i3 Processor (13th Gen)"", ""8 GB DDR4 RAM"", ""Windows 11 Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 Inch) Display"", ""1 Year Onsite Warranty""]",Laptop,HP
39,Inspiron 3530 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3530 Thin...,39490,49990,54,4.3,7,1,"[""Intel Core i3 Processor (13th Gen)"", ""8 GB DDR4 RAM"", ""Windows 11 Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 Inch) Display"", ""1 Year Onsite Hardware Service""]",Laptop,DELL
40,"Wyse 5470 Intel Celeron Quad Core Processor Base Frequency 1.10 GHz, Burst Frequency 2.40 GHz - (...",22590,52990,36,3.9,36,2,"[""Intel Celeron Quad Core Processor"", ""8 GB DDR4 RAM"", ""64 bit Windows 11 Operating System"", ""256 GB SSD"", ""35.56 cm (14 inch) Display"", ""1 YEAR WARRANTY""]",Laptop,DELL
41,Intel Core i3 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) V14 Thin and Light Laptop,33490,32990,54,3.8,2503,216,"[""Intel Core i3 Processor (12th Gen)"", ""16 GB DDR4 RAM"", ""Windows 11 Home Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 inch) Display"", ""1-Year""]",Laptop,Lenovo
42,Chromebook Intel Celeron Dual Core N4500 - (4 GB/128 GB EMMC Storage/Chrome OS) CX1500CKA-NJ0413 ...,14990,77990,23,4.2,585,66,"[""Intel Celeron Dual Core Processor"", ""4 GB LPDDR4X RAM"", ""Chrome Operating System"", ""39.62 cm (15.6 Inch) Display"", ""1 Year Onsite Warranty""]",Laptop,ASUS
43,"Vivobook 16X (2025) for Creator with Office 2024 + M365 Basic, Intel Core i5 12th Gen 12500H - (1...",59990,62415,16,4.0,118,6,"[""Intel Core i5 Processor (12th Gen)"", ""16 GB DDR4 RAM"", ""Windows 11 Home Operating System"", ""512 GB SSD"", ""40.64 cm (16 Inch) Display"", ""Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic (1-Year Validity),\ufffdMcAfee -1 year, One-Month Membership of Adobe Creative Cloud All Apps"", ""1 Year Onsite Warranty""]",Laptop,ASUS
44,Vostro 3530 Intel Core i5 13th Gen 1334U - (8 GB/512 GB SSD/Windows 11 Home) Vostro 3530 Thin and...,51990,157945,24,4.2,0,0,"[""Intel Core i5 Processor (13th Gen)"", ""8 GB DDR4 RAM"", ""Windows 11 Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 Inch) Display"", ""1 Year Onsite Warranty""]",Laptop,DELL
45,IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin a...,51400,72490,29,4.4,5,0,"[""Intel Core i5 Processor (12th Gen)"", ""16 GB LPDDR5 RAM"", ""Windows 11 Operating System"", ""512 GB SSD"", ""35.56 cm (14 Inch) Display"", ""1 Year Onsite Warranty""]",Laptop,Lenovo
46,Laptop Intel Core i3 12th Gen 1215U - (8 GB/256 GB SSD/Windows 11 Home) 15s-fy5010TU Thin and Light...,31990,46709,31,4.2,6855,414,"[""Intel Core i3 Processor (12th Gen)"", ""8 GB DDR4 RAM"", ""Windows 11 Home Operating System"", ""256 GB SSD"", ""39.62 cm (15.6 inch) Display"", ""1 Year Carry-in Warranty""]",Laptop,HP
47,AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) 15-fc0156AU Thin and Light Laptop,56831,54552,24,3.8,12,0,"[""AMD Ryzen 5 Quad Core Processor"", ""16 GB LPDDR5 RAM"", ""Windows 11 Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 Inch) Display"", ""1 Year Onsite Warranty""]",Laptop,HP
